,Z,Z_norm,Z_NH3,phi,yp,yp_src,dyp_dx,H_ele,strain,T,P,K,H2,NH3,NO,N2O,O2,H,O,OH,HO2,H2O,H2O2,NO2,HNO,N,NNH,NH2,NH,H2NO,N2
23,0.078102274,0.090225205,0.072751012,0.6,0.007110911,0.033236171,69.12907326,0.013942079,1060.56303,809.8437906,101325,10.6504344,0.004543706,0.048391855,0.000102303,0.00014595,0.20877144,2.76E-07,1.10E-06,5.89E-07,8.75E-05,0.007110911,6.91E-06,1.80E-05,1.70E-05,2.14E-08,1.26E-10,4.95E-05,6.47E-07,6.51E-08,0.730752162
24,0.077469424,0.090225205,0.071818768,0.6,0.008461088,0.050043774,81.63543528,0.013860128,1275.855378,821.6846759,101325,10.6504344,0.004414659,0.047793527,0.000132223,0.000190041,0.207916315,3.88E-07,1.59E-06,8.86E-07,9.59E-05,0.008461088,7.66E-06,1.97E-05,2.10E-05,3.49E-08,2.07E-10,6.28E-05,8.64E-07,8.10E-08,0.730881244
25,0.076843766,0.090225205,0.070855459,0.6,0.01005553,0.075461496,95.97497363,0.013782865,1523.203749,835.7453218,101325,10.6504344,0.004281286,0.047088911,0.000171322,0.000246796,0.206859704,5.53E-07,2.31E-06,1.34E-06,0.000104042,0.01005553,8.39E-06,2.12E-05,2.60E-05,5.71E-08,3.44E-10,7.97E-05,1.16E-06,1.01E-07,0.731051731
26,0.076236331,0.090225205,0.06987475,0.6,0.011930041,0.113608942,112.2582003,0.01371195,1803.562534,852.3472577,101325,10.6504344,0.004143931,0.046262002,0.000222433,0.000319371,0.205562411,7.95E-07,3.38E-06,2.02E-06,0.000111731,0.011930041,9.07E-06,2.21E-05,3.20E-05,9.38E-08,5.71E-10,0.000101203,1.58E-06,1.25E-07,0.731275762
27,0.0756596,0.090225205,0.068893999,0.6,0.014122584,0.170254542,130.5461989,0.013649093,2116.573268,871.8201982,101325,10.6504344,0.004002962,0.045295326,0.000289223,0.000411458,0.203980588,1.15E-06,4.96E-06,3.04E-06,0.000118537,0.014122584,9.66E-06,2.23E-05,3.94E-05,1.54E-07,9.53E-10,0.000128656,2.17E-06,1.55E-07,0.731567655
28,0.075127199,0.090225205,0.067934227,0.6,0.016672315,0.253330315,150.8319495,0.013595972,2460.329315,894.4882021,101325,10.6504344,0.003858751,0.044170198,0.000376412,0.000527248,0.202066259,1.66E-06,7.32E-06,4.56E-06,0.00012408,0.016672315,1.01E-05,2.20E-05,4.84E-05,2.50E-07,1.59E-09,0.000163509,2.98E-06,1.93E-07,0.731943784
29,0.074653488,0.090225205,0.067019842,0.6,0.019618251,0.373666759,173.0202441,0.013554155,2831.282971,920.6533348,101325,10.6504344,0.00371165,0.042867209,0.000490024,0.000671297,0.199768295,2.39E-06,1.08E-05,6.82E-06,0.000128054,0.019618251,1.04E-05,2.10E-05,5.94E-05,4.03E-07,2.66E-09,0.000207468,4.11E-06,2.39E-07,0.732422223
30,0.074253105,0.090225205,0.06617812,0.6,0.022997553,0.546120887,196.9055025,0.01352502,3224.294804,950.5783316,101325,10.6504344,0.003561974,0.04136706,0.000637659,0.000848277,0.197033911,3.41E-06,1.59E-05,1.02E-05,0.000130293,0.022997553,1.05E-05,1.95E-05,7.27E-05,6.39E-07,4.44E-09,0.000262357,5.66E-06,2.97E-07,0.733022081
31,0.073940515,0.090225205,0.065438447,0.6,0.026843364,0.791232205,222.1456565,0.013509714,3632.415416,984.4697915,101325,10.6504344,0.00340998,0.039651839,0.000828723,0.001062552,0.193810847,4.80E-06,2.33E-05,1.51E-05,0.000130812,0.026843364,1.04E-05,1.78E-05,8.88E-05,9.96E-07,7.37E-09,0.000329942,7.77E-06,3.70E-07,0.733762496
32,0.073729546,0.090225205,0.064831257,0.6,0.031182146,1.137264247,248.2284262,0.013509119,4042.179062,1022.4593,101325,10.6504344,0.003255856,0.037706856,0.001074535,0.001317539,0.190050385,6.66E-06,3.41E-05,2.26E-05,0.000129805,0.031182146,1.01E-05,1.61E-05,0.000107956,1.52E-06,1.21E-08,0.000411638,1.06E-05,4.60E-07,0.734661254
33,0.073632419,0.090225205,0.064386118,0.6,0.036030357,1.621893777,274.4501156,0.013523775,4442.812362,1064.536854,101325,10.6504344,0.00309966,0.03552287,0.001388171,0.001614866,0.185711596,9.06E-06,4.92E-05,3.38E-05,0.000127589,0.036030357,9.51E-06,1.45E-05,0.000130469,2.25E-06,1.97E-08,0.000508108,1.42E-05,5.73E-07,0.735733144
